Title,Rating,Genre,Actors,Runtime
Koombiyo,9.9,"Crime, Drama, Thriller",X,20
The Filthy Frank Show,9.8,"Short, Comedy, Fantasy",X,12
Game of Thrones,9.5,"Action, Adventure, Drama",X,57
Breaking Bad,9.5,"Crime, Drama, Thriller",X,49
Rick and Morty,9.3,"Animation, Adventure, Comedy",X,23
The Wire,9.3,"Crime, Drama, Thriller",X,59
TVF Pitchers,9.3,"Comedy, Drama",X,40
Sherlock,9.2,"Crime, Drama, Mystery",X,88
The Sopranos,9.2,"Crime, Drama",X,55
Avatar: The Last Airbender,9.2,"Animation, Action, Adventure",X,23
The World at War,9.2,"Documentary, History, War",X,52
Leyla ile Mecnun,9.2,"Adventure, Comedy, Drama",X,80
Firefly,9.1,"Adventure, Drama, Sci-Fi",X,44
Hagane no renkinjutsushi,9.1,"Animation, Action, Adventure",X,24
Stranger Things,9.0,"Drama, Fantasy, Horror",X,51
Fargo,9.0,"Crime, Drama, Thriller",X,53
True Detective,9.0,"Crime, Drama, Mystery",X,55
The Twilight Zone,9.0,"Fantasy, Horror, Mystery",X,51
Death Note: Desu nôto,9.0,"Animation, Crime, Drama",X,24
Last Week Tonight with John Oliver,9.0,"Comedy, News, Talk-Show",X,30
One Punch Man: Wanpanman,9.0,"Animation, Action, Comedy",X,24
Batman: The Animated Series,9.0,"Animation, Action, Adventure",X,23
Black Mirror,8.9,"Drama, Sci-Fi, Thriller",X,60
Friends,8.9,"Comedy, Romance",X,22
Westworld,8.9,"Drama, Mystery, Sci-Fi",X,62
Narcos,8.9,"Biography, Crime, Drama",X,49
The Marvelous Mrs. Maisel,8.9,"Comedy, Drama",X,57
House of Cards,8.9,Drama,X,51
Seinfeld,8.9,Comedy,X,22
Arrested Development,8.9,Comedy,X,48
Gravity Falls,8.9,"Animation, Adventure, Comedy",X,23
Only Fools and Horses....,8.9,Comedy,X,95
Kaubôi bibappu,8.9,"Animation, Action, Adventure",X,24
Monty Python's Flying Circus,8.9,Comedy,X,30
Pod prikritie,8.9,"Action, Crime, Drama",X,60
This Is Us,8.8,"Comedy, Drama",X,45
Peaky Blinders,8.8,"Crime, Drama",X,60
La casa de papel,8.8,"Action, Crime, Mystery",X,70
The Office,8.8,Comedy,X,22
The Punisher,8.8,"Action, Adventure, Crime",X,53
It's Always Sunny in Philadelphia,8.8,Comedy,X,22
House M.D.,8.8,"Drama, Mystery",X,44
The Simpsons,8.8,"Animation, Comedy",X,22
The Grand Tour,8.8,"Comedy, Talk-Show",X,60
Twin Peaks,8.8,"Crime, Drama, Mystery",X,47
The West Wing,8.8,Drama,X,44
Freaks and Geeks,8.8,"Comedy, Drama",X,44
Shingeki no kyojin,8.8,"Animation, Action, Adventure",X,24
Rome,8.8,"Action, Drama, History",X,90
Oz,8.8,"Crime, Drama, Thriller",X,55
