Country;Purchasing Power Index;Safety Index;Health Care Index
Switzerland;138.2;72.42;71.98
Germany;118;76.14;73.25
United States;138.38;46.56;67.76
Sweden;108.25;68.19;78.7
Canada;111.04;65.02;72.79
United Arab Emirates;123.85;81.99;59.92
Denmark;104.58;69.26;86.13
Norway;97.29;74.39;80.51
Qatar;140.57;73.83;68.06
Austria;88.57;69.56;81.45
Finland;95.65;67.31;76.41
Australia;104.18;55.56;75.56
New Zealand;85.55;58.21;76.04
Netherlands;94.93;62.47;66.8
Japan;87.68;86.89;80.09
Estonia;54.02;75.77;78.06
France;99.18;48.87;85.62
Ireland;91.68;55.05;49
United Kingdom;90.54;60.22;71.28
Belgium;95.48;57.05;81.48
Spain;83.67;65.88;75.61
Saudi Arabia;116.1;68.26;34.17
South Korea;95.57;82.6;80.56
Slovenia;60.1;70.4;72.11
South Africa;107.37;23.32;61.33
Czech Republic;64.46;65.88;61.99
Taiwan;74.17;83.74;81.25
Portugal;54.59;65.04;61.63
Puerto Rico;95.73;29.47;58.98
Slovakia;54.24;64.84;59.95
Lithuania;42.79;65.39;70.79
Israel;73.52;51.74;87.04
Hong Kong;81.17;83.43;71.06
Poland;55.56;61.07;57.81
Croatia;52.07;67.75;50.03
Mexico;60.67;43.77;72.12
Italy;75.76;50.54;64.78
Panama;37.69;51.54;82.41
Hungary;43.45;66.28;51.02
Malaysia;71.79;32.25;59.65
Uruguay;38.14;55.03;57.18
Turkey;57.26;64.8;71.87
India;62.71;57.88;62.68
Chile;58.03;59.72;61.51
Argentina;51.09;40.71;78.26
Bosnia And Herzegovina;47.34;56.74;54.54
Singapore;60.86;80.02;58.82
Serbia;37.01;58.77;55.55
Romania;36.35;69.98;46.13
Greece;50.31;50.24;50.4
Thailand;35.44;59.47;94.73
Bulgaria;38.01;58.53;54.63
Brazil;41.44;37.38;57.58
Ecuador;25.99;40.26;64.81
Georgia;29;80.43;68.98
Colombia;29.44;45.84;77.31
Ukraine;32.3;51.05;47.89
China;42.41;73.13;60.86
Philippines;25.98;45.06;73.7
Russia;39.6;47.61;39.34
